question,answer
What is IVF and how does it work?,"IVF (in vitro fertilization) is a process where eggs are collected, fertilized in a laboratory and embryos are transferred to the uterus."
What are the main steps of an IVF cycle?,"Ovarian stimulation, monitoring, egg retrieval, fertilization (IVF/ICSI), embryo culture and transfer."
How long does an IVF cycle take?,A typical cycle takes about 4â€“6 weeks from stimulation start to embryo transfer.
What is ovarian stimulation?,Hormone injections are used to grow multiple follicles so multiple eggs can be retrieved.
What is egg retrieval?,A minor procedure under sedation where eggs are collected from the ovaries using ultrasound guidance.
What is embryo transfer?,A simple procedure placing embryos into the uterus using a thin catheter.
What is ICSI?,ICSI injects a single sperm into an egg; used when sperm quality is poor or previous fertilization failed.
What is embryo grading?,"Assessment of embryo morphology to help select embryos for transfer, often graded A/B/C."
What is a blastocyst?,An embryo at day 5â€“6 with specialized cell groups and cavity; often used for transfer.
What does AMH measure?,AMH measures ovarian reserve and helps predict response to stimulation.
What is FSH and why test it?,FSH helps assess ovarian reserve; higher baseline FSH can suggest reduced reserve.
What is AFC?,Antral follicle count via ultrasound estimates ovarian reserve and guides dosing.
What does a semen analysis report include?,"Sperm count, motility, morphology, volume, and sometimes vitality."
What is embryo freezing?,"Freezing embryos to store them for later use, typically via vitrification."
What is a frozen embryo transfer (FET)?,Transferring a previously frozen embryo in a later cycle.
What is OHSS?,Ovarian hyperstimulation syndrome: ovaries become swollen and fluid imbalance may occur; ranges from mild to severe.
Can stress affect IVF?,Stress impacts wellbeing; clinics recommend stress management though direct effects on outcomes are unclear.
Does age affect IVF success?,Yesâ€”female age strongly influences egg quality and success rates.
How many embryos are usually transferred?,"Often one (single embryo transfer) to reduce multiple pregnancy risk, depending on age and embryo quality."
What is implantation failure?,When an embryo does not attach to the uterine lining; repeated failure may prompt deeper investigation.
What tests are done before IVF?,"AMH, FSH, ultrasound, semen analysis, infection screening, and routine blood tests."
Can IVF help low sperm quality?,Yesâ€”ICSI and sperm preparation techniques increase fertilization chances.
What is donor egg IVF?,Using eggs from a donor when the patientâ€™s eggs are not viable or to avoid genetic disease.
What is donor sperm IVF?,Using donor sperm for insemination or IVF when male partner sperm is unavailable or for single parents.
What is hysteroscopy?,Procedure to view/remove uterine cavity abnormalities like polyps that can affect implantation.
What medications are used in stimulation?,"Gonadotropins (FSH), GnRH agonists/antagonists, and trigger injections like hCG."
What is a trigger shot?,An injection that finalizes egg maturation and times the retrieval procedure.
What is PGT-A?,Preimplantation genetic testing for aneuploidy screens embryos for chromosomal abnormalities.
Does smoking affect IVF?,Yesâ€”smoking reduces fertility and lowers IVF success; quitting is advised.
Can weight affect IVF outcomes?,Yesâ€”extremes of weight can affect hormonal balance and outcomes; clinics may advise weight optimization.
How soon will I know if IVF worked?,A blood test for pregnancy (beta-hCG) is usually done around 10â€“14 days after transfer.
What is biochemical pregnancy?,A positive pregnancy test without ultrasound evidence of clinical pregnancyâ€”an early loss.
What is clinical pregnancy?,A pregnancy confirmed by ultrasound visualization of pregnancy structures.
What is luteal phase support?,Progesterone support after retrieval/transfer to help maintain the uterine lining.
Can IVF cause birth defects?,Overall risk is low and similar to natural conception when adjusting for parental factors.
What are mosaic embryos?,Embryos with both normal and abnormal cells; transfer decisions are individualized.
What does the embryologist do?,"Embryologists fertilize eggs, culture embryos, grade them, and handle freezing/thawing."
